monster ID,monster type,number of arms,number of legs,power level,uuid
104,goblin,2,2,7,300
105,ghost,1,2,37,300
106,dragon,4,2,82,300
107,zombie,2,0,32,300
108,goblin,4,2,4,300
109,goblin,1,2,22,300
110,zombie,1,2,36,300
111,ghost,1,0,55,300
112,zombie,1,1,23,300
113,spider,4,4,59,300
114,ghost,2,0,34,300
115,dragon,2,2,87,300
116,spider,4,4,51,300
117,spider,4,4,35,300
118,goblin,3,2,2,300
119,dragon,4,2,85,300
120,spider,4,4,49,300
121,goblin,2,2,29,300
122,dragon,4,2,89,300
123,dragon,4,4,86,300
124,goblin,1,2,3,300
125,goblin,4,2,29,300
126,spider,4,4,44,300
127,goblin,3,2,20,300
128,dragon,2,2,97,300
129,spider,4,4,69,300
130,goblin,3,2,18,300
131,goblin,2,2,14,300
132,zombie,1,2,32,300
133,zombie,0,1,17,300
134,ghost,0,2,44,300
135,dragon,4,4,84,300
136,spider,4,4,41,300
137,goblin,1,2,21,300
138,ghost,2,0,50,300
139,ghost,1,0,39,300
140,zombie,1,2,15,300
141,goblin,1,2,15,300
142,dragon,4,4,93,300
143,dragon,2,4,82,300
144,dragon,4,2,94,300
145,zombie,0,0,19,300
146,goblin,4,2,18,300
147,ghost,2,0,31,300
148,ghost,0,2,44,300
149,zombie,1,2,15,300
150,ghost,2,2,44,300
151,ghost,0,2,49,300
152,dragon,4,4,84,300
153,goblin,3,2,8,300
154,zombie,0,2,19,300
155,goblin,4,2,0,300
156,zombie,1,2,22,300
157,ghost,2,0,39,300
158,spider,4,4,53,300
159,goblin,4,2,11,300
160,ghost,2,0,46,300
161,ghost,0,0,39,300
162,dragon,2,2,81,300
163,ghost,0,2,43,300
164,goblin,2,2,21,300
165,zombie,0,2,40,300
166,ghost,1,2,60,300
167,spider,4,4,48,300
168,ghost,1,0,37,300
169,spider,4,4,35,300
170,ghost,2,0,32,300
171,goblin,4,2,23,300
172,ghost,1,2,58,300
173,spider,4,4,74,300
174,zombie,2,0,39,300
175,zombie,1,1,39,300
176,ghost,2,2,36,300
177,spider,4,4,65,300
178,spider,4,4,70,300
179,zombie,1,1,22,300
180,spider,4,4,57,300
181,zombie,1,2,36,300
182,spider,4,4,41,300
183,ghost,1,0,37,300
184,dragon,4,4,84,300
185,zombie,0,2,36,300
186,ghost,2,2,47,300
187,ghost,1,0,45,300
188,goblin,3,2,1,300
189,dragon,2,4,93,300
190,zombie,1,1,26,300
191,goblin,4,2,18,300
192,goblin,2,2,8,300
193,spider,4,4,64,300
194,ghost,2,2,49,300
195,ghost,2,2,59,300
196,goblin,1,2,13,300
197,ghost,2,0,47,300
198,goblin,2,2,30,300
199,dragon,4,4,88,300
200,spider,4,4,74,300
201,dragon,4,4,100,300
202,goblin,3,2,2,300
203,zombie,0,1,29,300
204,goblin,3,2,28,300
205,ghost,1,2,38,300
206,ghost,1,2,30,300
207,spider,4,4,69,300
208,goblin,3,2,11,300
209,dragon,2,4,93,300
210,spider,4,4,40,300
211,ghost,2,0,58,300
212,zombie,1,0,11,300
213,spider,4,4,66,300
214,ghost,1,0,43,300
215,ghost,2,0,45,300
216,dragon,4,4,97,300
217,zombie,1,1,12,300
218,ghost,2,0,49,300
219,zombie,1,0,31,300
220,zombie,1,1,33,300
221,ghost,1,2,51,300
222,spider,4,4,51,300
223,ghost,1,0,38,300
224,dragon,4,2,86,300
225,spider,4,4,45,300
226,spider,4,4,54,300
227,spider,4,4,61,300
228,dragon,2,4,95,300
229,spider,4,4,75,300
230,spider,4,4,35,300
231,zombie,2,2,16,300
232,goblin,3,2,19,300
233,goblin,1,2,29,300
234,goblin,2,2,17,300
235,goblin,4,2,21,300
236,goblin,4,2,12,300
237,dragon,4,2,92,300
238,goblin,1,2,5,300
239,dragon,2,2,89,300
240,dragon,2,4,98,300
241,ghost,2,0,59,300
242,ghost,1,2,48,300
243,ghost,0,0,32,300
244,spider,4,4,44,300
245,zombie,0,0,37,300
246,spider,4,4,49,300
247,spider,4,4,58,300
248,dragon,4,4,82,300
249,dragon,4,2,87,300
250,zombie,0,1,29,300
251,dragon,2,2,99,300
252,dragon,4,2,84,300
253,spider,4,4,63,300
254,dragon,4,4,96,300
255,zombie,0,1,18,300
256,spider,4,4,46,300
257,zombie,1,1,31,300
258,goblin,4,2,30,300
259,goblin,4,2,1,300
260,spider,4,4,74,300
261,ghost,1,2,31,300
262,dragon,4,4,95,300
263,spider,4,4,75,300
264,dragon,2,4,90,300
265,zombie,1,1,27,300
266,goblin,2,2,21,300
267,ghost,1,0,33,300
268,goblin,3,2,9,300
269,zombie,1,2,25,300
270,zombie,1,2,15,300
271,ghost,1,2,52,300
272,zombie,2,0,14,300
273,spider,4,4,75,300
274,ghost,1,2,33,300
275,spider,4,4,65,300
276,zombie,2,0,14,300
277,spider,4,4,54,300
278,goblin,4,2,14,300
279,dragon,4,2,83,300
280,goblin,3,2,0,300
281,zombie,0,0,14,300
282,zombie,2,2,35,300
283,dragon,4,2,94,300
284,zombie,1,2,21,300
285,goblin,1,2,28,300
286,dragon,4,2,88,300
287,dragon,2,2,93,300
288,spider,4,4,50,300
289,dragon,4,4,94,300
290,goblin,4,2,30,300
291,dragon,4,2,92,300
292,spider,4,4,54,300
293,ghost,1,0,50,300
294,zombie,0,0,29,300
295,dragon,4,4,82,300
296,ghost,1,0,31,300
297,dragon,4,2,95,300
298,dragon,2,2,93,300
299,goblin,4,2,13,300
300,spider,4,4,50,300
301,zombie,1,1,13,301
302,zombie,0,1,39,302
303,dragon,4,2,96,303
304,zombie,0,1,10,304
305,ghost,1,2,54,305
306,goblin,4,2,19,306
307,goblin,4,2,19,307
308,zombie,2,0,24,308
309,zombie,1,2,31,309
310,spider,4,4,60,310
311,ghost,1,0,39,311
312,zombie,2,1,11,312
313,dragon,4,2,86,313
314,ghost,1,0,59,314
315,zombie,0,1,32,315
316,zombie,1,0,17,316
317,zombie,1,0,26,317
318,dragon,2,4,88,318
319,ghost,1,0,57,319
320,zombie,0,0,26,320
321,zombie,0,1,29,321
322,goblin,3,2,3,322
323,goblin,1,2,24,323
324,goblin,1,2,6,324
325,zombie,0,1,30,325
326,ghost,2,2,41,326
327,goblin,3,2,22,327
328,dragon,2,2,99,328
329,zombie,2,0,37,329
330,goblin,1,2,27,330
331,dragon,2,2,81,331
332,goblin,2,2,27,332
333,ghost,2,2,42,333
334,ghost,2,2,48,334
335,ghost,2,0,40,335
336,zombie,1,0,32,336
337,spider,4,4,45,337
338,spider,4,4,53,338
339,ghost,2,2,43,339
340,ghost,1,2,47,340
341,ghost,2,0,49,341
342,ghost,0,2,59,342
343,dragon,4,2,93,343
344,zombie,0,1,33,344
345,dragon,2,2,88,345
346,spider,4,4,63,346
347,dragon,4,4,86,347
348,zombie,0,0,26,348
349,zombie,0,0,36,349
350,dragon,2,4,81,350
351,zombie,1,1,33,351
352,spider,4,4,46,352
353,dragon,2,4,97,353
354,zombie,2,0,29,354
355,dragon,4,4,87,355
356,dragon,4,4,85,356
357,spider,4,4,75,357
358,spider,4,4,53,358
359,spider,4,4,36,359
360,goblin,4,2,27,360
361,spider,4,4,69,361
362,dragon,2,2,93,362
363,goblin,3,2,24,363
364,ghost,2,0,47,364
365,ghost,2,0,32,365
366,dragon,2,4,96,366
367,goblin,2,2,24,367
368,goblin,3,2,15,368
369,ghost,1,0,53,369
370,ghost,2,2,32,370
371,zombie,0,0,37,371
372,ghost,2,2,36,372
373,goblin,4,2,0,373
374,ghost,0,0,40,374
375,zombie,0,1,17,375
376,spider,4,4,48,376
377,ghost,0,0,54,377
378,zombie,1,2,10,378
379,zombie,1,1,37,379
380,zombie,1,2,35,380
381,dragon,2,2,87,381
382,dragon,2,2,100,382
383,dragon,2,2,97,383
384,goblin,2,2,19,384
385,ghost,2,0,55,385
386,zombie,0,0,13,386
387,dragon,4,2,100,387
388,spider,4,4,40,388
389,spider,4,4,44,389
390,zombie,2,0,31,390
391,spider,4,4,47,391
392,zombie,1,0,28,392
393,ghost,0,0,36,393
394,goblin,4,2,28,394
395,goblin,1,2,21,395
396,ghost,0,0,57,396
397,ghost,0,0,54,397
398,goblin,1,2,16,398
399,zombie,2,0,10,399
400,zombie,2,2,30,400
401,zombie,2,2,12,401
402,goblin,2,2,27,402
403,goblin,2,2,12,403
404,spider,4,4,59,404
405,zombie,0,1,15,405
406,spider,4,4,56,406
407,dragon,2,4,85,407
408,ghost,2,2,42,408
409,goblin,1,2,0,409
410,ghost,2,0,53,410
411,dragon,2,4,80,411
412,zombie,1,1,21,412
413,dragon,4,2,89,413
414,ghost,2,0,56,414
415,spider,4,4,70,415
416,dragon,2,2,95,416
417,spider,4,4,48,417
418,zombie,2,0,40,418
419,spider,4,4,58,419
420,ghost,2,0,49,420
421,ghost,1,0,42,421
422,spider,4,4,67,422
423,ghost,1,0,33,423
424,ghost,2,0,52,424
425,spider,4,4,37,425
426,dragon,4,2,87,426
427,spider,4,4,75,427
428,goblin,4,2,13,428
429,ghost,1,0,51,429
430,goblin,1,2,9,430
431,goblin,4,2,0,431
432,spider,4,4,54,432
433,spider,4,4,59,433
434,zombie,2,2,11,434
435,goblin,4,2,4,435
436,zombie,1,2,31,436
437,spider,4,4,67,437
438,ghost,0,0,47,438
439,ghost,0,0,53,439
440,spider,4,4,74,440
441,ghost,0,2,59,441
442,ghost,1,2,45,442
443,ghost,1,0,37,443
444,dragon,2,2,91,444
445,ghost,2,0,35,445
446,ghost,0,2,52,446
447,dragon,2,4,83,447
448,goblin,2,2,25,448
449,zombie,0,1,32,449
450,dragon,2,2,80,450
451,dragon,4,4,93,451
452,dragon,2,4,97,452
453,spider,4,4,68,453
454,goblin,4,2,11,454
455,dragon,2,4,90,455
456,zombie,2,0,40,456
457,zombie,0,2,29,457
458,zombie,0,1,12,458
459,zombie,2,2,24,459
460,dragon,4,4,96,460
461,ghost,1,2,32,461
462,zombie,1,0,23,462
463,dragon,2,2,89,463
464,ghost,2,2,46,464
465,ghost,2,2,55,465
466,ghost,1,0,41,466
467,ghost,1,0,43,467
468,spider,4,4,41,468
469,zombie,1,0,38,469
470,zombie,2,2,22,470
471,ghost,1,2,37,471
472,spider,4,4,40,472
473,dragon,4,4,88,473
474,zombie,2,1,37,474
475,goblin,4,2,8,475
476,goblin,2,2,16,476
477,zombie,1,2,14,477
478,spider,4,4,74,478
479,dragon,2,4,85,479
480,dragon,2,2,85,480
481,spider,4,4,46,481
482,dragon,4,2,91,482
483,ghost,0,0,56,483
484,dragon,4,2,97,484
485,zombie,1,0,31,485
486,zombie,2,2,10,486
487,goblin,3,2,7,487
488,zombie,1,0,24,488
489,zombie,1,1,13,489
490,dragon,4,4,82,490
491,goblin,4,2,21,491
492,dragon,4,4,100,492
493,spider,4,4,44,493
494,goblin,4,2,10,494
495,zombie,1,2,21,495
496,goblin,2,2,18,496
497,goblin,4,2,28,497
498,goblin,3,2,9,498
499,zombie,2,1,16,499
500,goblin,2,2,19,500
501,dragon,4,4,80,501
502,ghost,0,0,40,502
503,goblin,2,2,30,503
504,goblin,2,2,11,504
505,zombie,2,1,27,505
506,goblin,1,2,13,506
507,goblin,2,2,10,507
508,dragon,2,2,93,508
509,zombie,2,2,17,509
510,dragon,2,2,84,510
511,spider,4,4,62,511
512,ghost,2,2,39,512
513,dragon,4,2,99,513
514,zombie,0,0,40,514
515,spider,4,4,42,515
516,goblin,2,2,18,516
517,spider,4,4,58,517
518,dragon,4,4,97,518
519,spider,4,4,67,519
520,goblin,1,2,15,520
521,dragon,4,4,100,521
522,spider,4,4,72,522
523,zombie,1,1,32,523
524,spider,4,4,48,524
525,spider,4,4,69,525
526,ghost,0,0,34,526
527,goblin,3,2,8,527
528,spider,4,4,71,528
529,goblin,3,2,6,529
530,zombie,2,2,12,530
531,goblin,1,2,17,531
532,dragon,4,2,81,532
533,dragon,2,4,83,533
534,spider,4,4,75,534
535,goblin,2,2,27,535
536,dragon,4,2,89,536
537,goblin,1,2,10,537
538,spider,4,4,74,538
539,dragon,4,2,96,539
540,ghost,0,2,30,540
541,ghost,0,0,35,541
542,goblin,3,2,1,542
543,goblin,3,2,23,543
544,zombie,1,1,12,544
545,ghost,0,0,33,545
546,goblin,4,2,21,546
547,zombie,1,0,19,547
548,ghost,2,2,53,548
549,zombie,2,1,32,549
550,dragon,4,2,86,550
551,dragon,2,2,80,551
552,dragon,2,2,96,552
553,ghost,2,0,37,553
554,spider,4,4,61,554
555,ghost,0,0,54,555
556,ghost,2,0,46,556
557,zombie,2,1,39,557
558,zombie,1,1,35,558
559,spider,4,4,50,559
560,ghost,0,2,52,560
561,goblin,3,2,11,561
562,zombie,2,0,31,562
563,zombie,1,0,34,563
564,ghost,0,2,34,564
565,goblin,4,2,6,565
566,ghost,0,0,57,566
567,spider,4,4,67,567
568,ghost,1,2,59,568
569,zombie,1,2,16,569
570,spider,4,4,56,570
571,ghost,2,2,40,571
572,goblin,1,2,17,572
573,dragon,4,4,92,573
574,spider,4,4,37,574
575,spider,4,4,62,575
576,goblin,3,2,18,576
577,ghost,2,0,41,577
578,spider,4,4,72,578
579,dragon,4,4,80,579
580,zombie,1,2,40,580
581,dragon,2,4,92,581
582,goblin,4,2,25,582
583,ghost,1,2,36,583
584,dragon,4,2,85,584
585,ghost,0,0,51,585
586,spider,4,4,37,586
587,zombie,2,1,27,587
588,zombie,1,1,39,588
589,dragon,4,2,94,589
590,goblin,3,2,19,590
591,ghost,1,0,45,591
592,spider,4,4,44,592
593,dragon,4,4,89,593
594,goblin,3,2,22,594
595,goblin,1,2,0,595
596,zombie,0,0,18,596
597,goblin,2,2,24,597
598,zombie,0,1,37,598
599,spider,4,4,36,599
600,goblin,2,2,20,600
601,spider,4,4,53,601
602,goblin,2,2,1,602
603,ghost,2,2,40,603
604,zombie,0,1,27,604
605,goblin,2,2,1,605
606,spider,4,4,64,606
607,spider,4,4,49,607
608,goblin,4,2,0,608
609,goblin,1,2,1,609
610,ghost,0,0,60,610
611,goblin,2,2,10,611
612,ghost,2,0,41,612
613,ghost,0,2,35,613
614,goblin,1,2,12,614
615,spider,4,4,57,615
616,dragon,2,2,83,616
617,zombie,1,2,34,617
618,zombie,0,2,33,618
619,zombie,0,2,28,619
620,goblin,1,2,20,620
621,goblin,1,2,23,621
622,dragon,2,4,83,622
623,spider,4,4,41,623
624,zombie,1,1,35,624
625,zombie,1,1,20,625
626,spider,4,4,59,626
627,dragon,2,2,94,627
628,dragon,4,4,100,628
629,ghost,0,2,37,629
630,spider,4,4,37,630
631,goblin,3,2,20,631
632,zombie,2,2,29,632
633,goblin,2,2,14,633
634,spider,4,4,61,634
635,zombie,1,0,31,635
636,zombie,2,2,15,636
637,spider,4,4,70,637
638,spider,4,4,61,638
639,spider,4,4,38,639
640,ghost,0,2,44,640
641,dragon,2,4,99,641
642,dragon,2,4,80,642
643,zombie,2,2,16,643
644,goblin,3,2,13,644
645,spider,4,4,59,645
646,goblin,3,2,6,646
647,zombie,2,0,20,647
648,dragon,4,4,91,648
649,spider,4,4,55,649
650,ghost,0,2,48,650
651,ghost,0,2,43,651
652,goblin,1,2,23,652
653,goblin,3,2,20,653
654,ghost,1,2,59,654
655,goblin,1,2,6,655
656,spider,4,4,53,656
657,ghost,0,0,56,657
658,zombie,2,1,28,658
659,dragon,4,2,99,659
660,zombie,2,1,16,660
661,zombie,1,1,35,661
662,zombie,0,0,26,662
663,dragon,4,4,95,663
664,goblin,4,2,17,664
665,ghost,1,0,38,665
666,zombie,0,0,10,666
667,dragon,4,2,85,667
668,dragon,4,4,92,668
669,zombie,0,1,29,669
670,spider,4,4,46,670
671,dragon,2,4,97,671
672,dragon,2,2,99,672
673,dragon,4,2,80,673
674,zombie,1,0,23,674
675,zombie,2,0,13,675
676,goblin,2,2,3,676
677,ghost,2,2,59,677
678,dragon,4,2,82,678
679,zombie,1,2,37,679
680,goblin,1,2,28,680
681,ghost,1,2,49,681
682,ghost,0,2,47,682
683,dragon,2,2,84,683
684,ghost,1,2,30,684
685,spider,4,4,67,685
686,zombie,1,1,20,686
687,ghost,1,2,41,687
688,spider,4,4,51,688
689,spider,4,4,45,689
690,zombie,0,1,27,690
691,goblin,1,2,27,691
692,zombie,1,1,28,692
693,ghost,1,0,33,693
694,ghost,0,2,43,694
695,dragon,4,2,100,695
696,goblin,3,2,27,696
697,spider,4,4,69,697
698,dragon,4,4,93,698
699,spider,4,4,72,699
700,spider,4,4,74,700
701,ghost,2,2,33,701
702,spider,4,4,44,702
703,zombie,2,1,16,703
704,ghost,1,2,52,704
705,goblin,1,2,30,705
706,zombie,0,1,36,706
707,spider,4,4,64,707
708,ghost,2,0,31,708
709,ghost,0,0,55,709
710,spider,4,4,69,710
711,dragon,4,4,89,711
712,zombie,1,0,32,712
713,spider,4,4,61,713
714,ghost,1,0,49,714
715,dragon,4,4,97,715
716,goblin,2,2,24,716
717,zombie,2,1,26,717
718,goblin,4,2,4,718
719,goblin,4,2,7,719
720,goblin,3,2,28,720
721,ghost,2,0,42,721
722,spider,4,4,57,722
723,goblin,2,2,22,723
724,goblin,4,2,8,724
725,zombie,2,0,12,725
726,zombie,1,1,35,726
727,dragon,4,2,87,727
728,spider,4,4,54,728
729,dragon,2,2,91,729
730,ghost,1,0,38,730
731,dragon,4,4,100,731
732,zombie,0,2,10,732
733,ghost,2,0,37,733
734,dragon,2,2,93,734
735,zombie,2,1,11,735
736,ghost,2,0,39,736
737,zombie,1,1,23,737
738,spider,4,4,65,738
739,ghost,1,0,35,739
740,dragon,4,4,86,740
741,zombie,1,1,15,741
742,zombie,1,2,36,742
743,dragon,2,4,93,743
744,dragon,2,2,98,744
745,goblin,3,2,15,745
746,zombie,2,0,34,746
747,zombie,2,1,30,747
748,zombie,2,2,22,748
749,ghost,2,0,33,749
750,dragon,2,2,93,750
751,goblin,1,2,20,751
752,spider,4,4,63,752
753,zombie,0,2,32,753
754,spider,4,4,72,754
755,ghost,1,2,45,755
756,ghost,0,2,42,756
757,dragon,4,2,80,757
758,dragon,2,2,92,758
759,goblin,3,2,0,759
760,dragon,4,2,91,760
761,zombie,1,0,14,761
762,spider,4,4,71,762
763,dragon,2,4,90,763
764,goblin,1,2,2,764
765,zombie,0,0,37,765
766,zombie,2,1,20,766
767,spider,4,4,65,767
768,dragon,2,2,81,768
769,dragon,4,2,89,769
770,zombie,2,0,35,770
771,goblin,2,2,8,771
772,spider,4,4,59,772
773,zombie,0,2,31,773
774,ghost,2,0,37,774
775,ghost,2,0,51,775
776,zombie,1,2,35,776
777,dragon,4,4,93,777
778,dragon,2,4,86,778
779,ghost,2,2,50,779
780,goblin,1,2,7,780
781,zombie,0,0,34,781
782,spider,4,4,71,782
783,zombie,0,1,30,783
784,goblin,1,2,18,784
785,ghost,2,0,36,785
786,goblin,1,2,5,786
787,goblin,1,2,20,787
788,spider,4,4,62,788
789,ghost,0,2,43,789
790,spider,4,4,54,790
791,dragon,2,4,89,791
792,dragon,2,4,89,792
793,zombie,0,1,32,793
794,spider,4,4,73,794
795,dragon,4,2,82,795
796,zombie,0,1,26,796
797,zombie,1,2,40,797
798,zombie,1,2,40,798
799,ghost,0,0,45,799
800,zombie,1,1,38,800
801,dragon,2,4,85,801
802,goblin,3,2,24,802
803,goblin,4,2,8,803
804,ghost,2,0,56,804
805,ghost,2,2,59,805
806,ghost,1,2,31,806
807,zombie,1,2,29,807
808,dragon,4,4,88,808
809,goblin,4,2,17,809
810,dragon,4,4,96,810
811,spider,4,4,42,811
812,zombie,2,0,33,812
813,zombie,2,1,39,813
814,zombie,1,1,31,814
815,zombie,2,0,16,815
816,spider,4,4,59,816
817,spider,4,4,45,817
818,zombie,2,0,18,818
819,ghost,0,2,46,819
820,ghost,1,0,56,820
821,goblin,3,2,5,821
822,spider,4,4,69,822
823,dragon,2,2,100,823
824,zombie,0,2,12,824
825,zombie,2,1,14,825
826,zombie,0,0,16,826
827,ghost,2,0,58,827
828,goblin,4,2,22,828
829,dragon,4,4,86,829
830,ghost,2,0,60,830
831,spider,4,4,39,831
832,zombie,0,2,36,832
833,dragon,2,4,98,833
834,ghost,1,0,35,834
835,goblin,4,2,14,835
836,dragon,4,4,95,836
837,dragon,2,2,81,837
838,zombie,2,1,14,838
839,ghost,0,0,57,839
840,spider,4,4,52,840
841,zombie,2,1,36,841
842,zombie,2,1,13,842
843,dragon,4,2,93,843
844,ghost,2,2,53,844
845,zombie,0,0,13,845
846,zombie,1,2,35,846
847,zombie,1,2,34,847
848,goblin,4,2,30,848
849,ghost,1,2,37,849
850,goblin,1,2,5,850
851,goblin,4,2,26,851
852,ghost,1,2,39,852
853,spider,4,4,36,853
854,goblin,3,2,25,854
855,zombie,2,2,13,855
856,ghost,0,2,48,856
857,dragon,2,2,80,857
858,ghost,0,2,33,858
859,ghost,0,0,35,859
860,goblin,3,2,25,860
861,zombie,1,0,28,861
862,goblin,3,2,21,862
863,ghost,1,0,38,863
864,spider,4,4,62,864
865,zombie,2,1,23,865
866,ghost,2,0,57,866
867,goblin,1,2,10,867
868,spider,4,4,38,868
869,spider,4,4,60,869
870,zombie,0,2,14,870
871,ghost,2,0,57,871
872,ghost,2,0,39,872
873,ghost,1,0,53,873
874,dragon,4,2,96,874
875,spider,4,4,56,875
876,spider,4,4,39,876
877,spider,4,4,51,877
878,dragon,4,4,89,878
879,dragon,2,2,98,879
880,goblin,4,2,0,880
881,goblin,4,2,21,881
882,ghost,0,0,40,882
883,spider,4,4,67,883
884,goblin,3,2,17,884
885,spider,4,4,60,885
886,spider,4,4,65,886
887,spider,4,4,72,887
888,dragon,2,2,85,888
889,spider,4,4,41,889
890,dragon,4,4,91,890
891,zombie,0,0,11,891
892,dragon,2,2,80,892
893,zombie,0,0,23,893
894,zombie,0,2,14,894
895,goblin,3,2,28,895
896,goblin,4,2,12,896
897,dragon,4,2,80,897
898,goblin,1,2,12,898
899,goblin,3,2,25,899
900,spider,4,4,54,900
901,goblin,3,2,18,901
902,zombie,0,2,11,902
903,ghost,2,2,39,903
904,spider,4,4,39,904
905,zombie,0,2,34,905
906,goblin,3,2,13,906
907,goblin,2,2,10,907
908,spider,4,4,57,908
909,ghost,2,0,40,909
910,dragon,2,2,94,910
911,dragon,4,2,91,911
912,dragon,4,2,87,912
913,zombie,0,1,30,913
914,ghost,0,2,42,914
915,spider,4,4,41,915
916,spider,4,4,70,916
917,dragon,4,4,90,917
918,spider,4,4,47,918
919,goblin,4,2,18,919
920,zombie,1,2,26,920
921,spider,4,4,48,921
922,ghost,0,0,30,922
923,spider,4,4,72,923
924,zombie,0,1,40,924
925,goblin,1,2,21,925
926,zombie,0,1,29,926
927,zombie,1,1,16,927
928,ghost,0,2,52,928
929,zombie,1,2,25,929
930,spider,4,4,62,930
931,goblin,2,2,25,931
932,dragon,2,4,89,932
933,goblin,2,2,27,933
934,ghost,2,0,41,934
935,spider,4,4,48,935
936,zombie,2,0,13,936
937,dragon,4,2,95,937
938,spider,4,4,36,938
939,dragon,4,2,92,939
940,ghost,0,0,51,940
941,dragon,2,4,87,941
942,spider,4,4,44,942
943,goblin,2,2,27,943
944,zombie,2,0,15,944
945,spider,4,4,69,945
946,zombie,2,2,14,946
947,goblin,4,2,10,947
948,goblin,2,2,27,948
949,ghost,1,0,55,949
950,ghost,1,2,51,950
951,spider,4,4,48,951
952,ghost,2,2,36,952
953,dragon,2,4,82,953
954,spider,4,4,73,954
955,zombie,2,1,32,955
956,ghost,0,2,40,956
957,zombie,1,1,36,957
958,spider,4,4,71,958
959,ghost,2,2,46,959
960,spider,4,4,52,960
961,ghost,2,2,52,961
962,goblin,4,2,26,962
963,spider,4,4,57,963
964,zombie,2,0,37,964
965,goblin,3,2,17,965
966,zombie,2,0,10,966
967,goblin,3,2,13,967
968,zombie,0,1,39,968
969,ghost,0,2,45,969
970,dragon,2,4,86,970
971,goblin,1,2,10,971
972,spider,4,4,41,972
973,goblin,4,2,21,973
974,dragon,4,2,93,974
975,zombie,0,1,20,975
976,dragon,4,4,87,976
977,dragon,2,4,98,977
978,spider,4,4,49,978
979,goblin,2,2,23,979
980,dragon,4,4,100,980
981,dragon,4,4,86,981
982,zombie,1,0,13,982
983,ghost,1,2,57,983
984,spider,4,4,56,984
985,goblin,2,2,29,985
986,goblin,1,2,1,986
987,ghost,1,0,56,987
988,ghost,2,2,38,988
989,dragon,2,4,87,989
990,dragon,2,2,92,990
991,ghost,1,2,55,991
992,spider,4,4,60,992
993,dragon,4,2,82,993
994,ghost,1,0,33,994
995,spider,4,4,75,995
996,dragon,4,2,100,996
997,spider,4,4,56,997
998,goblin,1,2,22,998
999,dragon,2,2,86,999
1000,spider,4,4,75,1000
1001,zombie,0,0,29,1001
1002,ghost,2,2,35,1002
1003,dragon,2,4,86,1003
1004,ghost,0,0,35,1004
1005,spider,4,4,47,1005
1006,dragon,2,4,81,1006
1007,dragon,2,2,88,1007
1008,zombie,2,0,27,1008
