enemy_unit_type,odds_of_victory,planet,population,size_of_force,universe
zealot,0.8328897166117676,Gaia,6.7,48000,Mirrodin
overlord,0.13488707035550074,Korhal,6.7,70000,Zendikar
overlord,0.9570345364973202,Ravnica,7.3,10000,Dominaria
drone,0.15110547407664032,Kamigawa,3.4,82000,Dominaria
zealot,0.5303738144722878,Ravnica,7.3,20000,Dominaria
overlord,0.4897682726702268,Korhal,6.7,81000,Zendikar
scout,0.17705554754250497,Gaia,6.7,68000,Mirrodin
negator,0.7673518784664506,Aiur,5.1,85000,Zendikar
battleship,0.6359259477319601,Eos,8.5,2000,Mirrodin
battleship,0.6395078017429182,Gaia,6.7,19000,Mirrodin
battleship,0.9132794370016604,Eos,8.5,6000,Mirrodin
negator,0.7325321062814617,Korhal,6.7,68000,Zendikar
battleship,0.32991778013846196,Ravnica,7.3,6000,Dominaria
mecha,0.6438728489516142,Aiur,5.1,34000,Zendikar
drone,0.9265469998170167,Aiur,5.1,21000,Zendikar
scout,0.44211539346679485,Kamigawa,3.4,44000,Dominaria
scout,0.4870716663324227,Korhal,6.7,47000,Zendikar
zealot,0.7567300573099259,Gaia,6.7,70000,Mirrodin
overlord,0.5554207926931802,Korhal,6.7,8000,Zendikar
overlord,0.48296799011908886,Korhal,6.7,88000,Zendikar
scout,0.9186529324064797,Kamigawa,3.4,36000,Dominaria
dreadnought,0.12097519040340965,Ravnica,7.3,67000,Dominaria
scout,0.5073381533364112,Korhal,6.7,77000,Zendikar
tank,0.3606350011475705,Aiur,5.1,77000,Zendikar
mecha,0.7458975327730013,Korhal,6.7,39000,Zendikar
zealot,0.3031258706109863,Aiur,5.1,84000,Zendikar
tank,0.995626420721172,Ravnica,7.3,33000,Dominaria
battleship,0.036954660103317494,Eos,8.5,79000,Mirrodin
overlord,0.03213970053681248,Korhal,6.7,3000,Zendikar
battleship,0.3718008626796382,Ravnica,7.3,5000,Dominaria
negator,0.9835852831064968,Ravnica,7.3,95000,Dominaria
mecha,0.7041989387541328,Eos,8.5,10000,Mirrodin
zealot,0.709970534582974,Eos,8.5,18000,Mirrodin
mecha,0.36249238277778173,Kamigawa,3.4,40000,Dominaria
battleship,0.4892997477419483,Ravnica,7.3,36000,Dominaria
tank,0.12147847581805493,Eos,8.5,94000,Mirrodin
dreadnought,0.5944110842754694,Eos,8.5,83000,Mirrodin
drone,0.3663905184506361,Ravnica,7.3,43000,Dominaria
mecha,0.4126723385333436,Ravnica,7.3,6000,Dominaria
zealot,0.4585502177630253,Gaia,6.7,54000,Mirrodin
tank,0.7197448991658839,Aiur,5.1,47000,Zendikar
negator,0.54467952823653,Gaia,6.7,98000,Mirrodin
dreadnought,0.16100735296043067,Ravnica,7.3,15000,Dominaria
zealot,0.29680451359226323,Aiur,5.1,2000,Zendikar
overlord,0.2941976750676044,Aiur,5.1,56000,Zendikar
mecha,0.2289645875120433,Korhal,6.7,47000,Zendikar
dreadnought,0.0818161576298776,Gaia,6.7,10000,Mirrodin
drone,0.5598051526286081,Eos,8.5,57000,Mirrodin
drone,0.3316946923637255,Ravnica,7.3,58000,Dominaria
drone,0.621389521232788,Ravnica,7.3,43000,Dominaria
tank,0.7303614565564742,Korhal,6.7,20000,Zendikar
negator,0.4595114484101147,Aiur,5.1,33000,Zendikar
zealot,0.9121825807169502,Ravnica,7.3,1000,Dominaria
drone,0.3686808632485076,Gaia,6.7,79000,Mirrodin
mecha,0.5975976831967249,Kamigawa,3.4,57000,Dominaria
battleship,0.7846704343481641,Korhal,6.7,27000,Zendikar
negator,0.21868587393205885,Gaia,6.7,19000,Mirrodin
scout,0.11267107591342806,Kamigawa,3.4,60000,Dominaria
mecha,0.6471299466694197,Gaia,6.7,8000,Mirrodin
tank,0.9960437664712516,Korhal,6.7,75000,Zendikar
dreadnought,0.5090972972745813,Ravnica,7.3,8000,Dominaria
scout,0.828712458691721,Gaia,6.7,69000,Mirrodin
scout,0.6142918831604534,Aiur,5.1,43000,Zendikar
drone,0.16007650376116178,Gaia,6.7,97000,Mirrodin
scout,0.6416122224639308,Ravnica,7.3,37000,Dominaria
drone,0.7675914819817156,Gaia,6.7,46000,Mirrodin
battleship,0.20234995981395287,Ravnica,7.3,47000,Dominaria
zealot,0.7506299665627192,Ravnica,7.3,28000,Dominaria
zealot,0.6375223256801146,Eos,8.5,92000,Mirrodin
zealot,0.5662791724404956,Aiur,5.1,35000,Zendikar
tank,0.3124297310339882,Ravnica,7.3,62000,Dominaria
overlord,0.5319043921104892,Aiur,5.1,17000,Zendikar
zealot,0.18450847292539752,Eos,8.5,58000,Mirrodin
battleship,0.7261681530998412,Gaia,6.7,55000,Mirrodin
negator,0.1647110723144808,Aiur,5.1,36000,Zendikar
battleship,0.5130726619758551,Gaia,6.7,86000,Mirrodin
mecha,0.283737354938593,Kamigawa,3.4,48000,Dominaria
overlord,0.5119539225263869,Ravnica,7.3,20000,Dominaria
scout,0.9970244373071665,Korhal,6.7,54000,Zendikar
zealot,0.3286855286685729,Gaia,6.7,92000,Mirrodin
negator,0.04687329567703824,Kamigawa,3.4,33000,Dominaria
scout,0.795210959892017,Aiur,5.1,64000,Zendikar
scout,0.755441509885624,Korhal,6.7,88000,Zendikar
scout,0.2875087531444973,Aiur,5.1,76000,Zendikar
scout,0.9918112553453161,Ravnica,7.3,4000,Dominaria
scout,0.07019566618362505,Korhal,6.7,10000,Zendikar
scout,0.6861779737689027,Aiur,5.1,75000,Zendikar
dreadnought,0.9495285593107434,Eos,8.5,71000,Mirrodin
battleship,0.0883669527655544,Gaia,6.7,83000,Mirrodin
negator,0.4341199547927529,Kamigawa,3.4,59000,Dominaria
mecha,0.009635282494020792,Ravnica,7.3,48000,Dominaria
tank,0.19064570233633593,Aiur,5.1,92000,Zendikar
mecha,0.5492963449585935,Eos,8.5,22000,Mirrodin
drone,0.6542733004552139,Kamigawa,3.4,35000,Dominaria
dreadnought,0.32851084439087586,Kamigawa,3.4,61000,Dominaria
scout,0.802424896653476,Eos,8.5,50000,Mirrodin
drone,0.2137804292701614,Kamigawa,3.4,7000,Dominaria
mecha,0.3868017138373525,Aiur,5.1,35000,Zendikar
tank,0.9202472507388756,Korhal,6.7,30000,Zendikar
overlord,0.4375047136243987,Kamigawa,3.4,92000,Dominaria
tank,0.7794458970337554,Eos,8.5,80000,Mirrodin
scout,0.5133950457016389,Kamigawa,3.4,79000,Dominaria
tank,0.003393786673789867,Gaia,6.7,22000,Mirrodin
dreadnought,0.9882489967515868,Korhal,6.7,41000,Zendikar
zealot,0.20027185235631784,Gaia,6.7,36000,Mirrodin
dreadnought,0.4990539957343668,Kamigawa,3.4,72000,Dominaria
tank,0.5449496768568062,Gaia,6.7,43000,Mirrodin
mecha,0.21766300648263692,Gaia,6.7,27000,Mirrodin
zealot,0.14067697713514937,Ravnica,7.3,44000,Dominaria
negator,0.2831778541172426,Eos,8.5,43000,Mirrodin
mecha,0.8179911293134017,Ravnica,7.3,36000,Dominaria
negator,0.30049047602809253,Korhal,6.7,61000,Zendikar
negator,0.5466070859995568,Korhal,6.7,55000,Zendikar
zealot,0.23789699346407467,Gaia,6.7,28000,Mirrodin
drone,0.886409990497617,Korhal,6.7,38000,Zendikar
overlord,0.12667985433168283,Korhal,6.7,62000,Zendikar
zealot,0.9029754261258359,Ravnica,7.3,22000,Dominaria
scout,0.9668049180823751,Gaia,6.7,62000,Mirrodin
negator,0.9672769990265944,Korhal,6.7,15000,Zendikar
dreadnought,0.9814587299479641,Aiur,5.1,88000,Zendikar
overlord,0.17046594308175178,Eos,8.5,65000,Mirrodin
battleship,0.8241664298340305,Ravnica,7.3,37000,Dominaria
tank,0.4488571160997804,Eos,8.5,95000,Mirrodin
tank,0.8496730031235681,Ravnica,7.3,23000,Dominaria
negator,0.6101987353462026,Kamigawa,3.4,37000,Dominaria
battleship,0.7187456276546911,Korhal,6.7,16000,Zendikar
drone,0.3288169082518019,Gaia,6.7,43000,Mirrodin
zealot,0.2883337228510533,Korhal,6.7,11000,Zendikar
scout,0.32434289324346754,Aiur,5.1,55000,Zendikar
battleship,0.01756767366801093,Ravnica,7.3,54000,Dominaria
mecha,0.02816062194153246,Ravnica,7.3,86000,Dominaria
battleship,0.7110561355078521,Korhal,6.7,87000,Zendikar
scout,0.38281653622017164,Ravnica,7.3,60000,Dominaria
scout,0.2331984760865422,Aiur,5.1,48000,Zendikar
scout,0.02110740230635011,Aiur,5.1,61000,Zendikar
scout,0.5736623697924284,Korhal,6.7,27000,Zendikar
mecha,0.03731598266521807,Kamigawa,3.4,30000,Dominaria
zealot,0.7613588855937293,Korhal,6.7,87000,Zendikar
zealot,0.6588342674213453,Gaia,6.7,52000,Mirrodin
scout,0.6422949126032973,Korhal,6.7,12000,Zendikar
scout,0.678371783822557,Eos,8.5,78000,Mirrodin
scout,0.4488765411012784,Eos,8.5,19000,Mirrodin
drone,0.19214413511487882,Eos,8.5,38000,Mirrodin
dreadnought,0.22117358997882242,Eos,8.5,77000,Mirrodin
dreadnought,0.5571137440362871,Gaia,6.7,8000,Mirrodin
scout,0.8225995151410781,Korhal,6.7,24000,Zendikar
drone,0.052664898120191705,Ravnica,7.3,43000,Dominaria
zealot,0.5105842740533062,Ravnica,7.3,4000,Dominaria
zealot,0.5622669110497989,Gaia,6.7,90000,Mirrodin
overlord,0.676534738326165,Gaia,6.7,21000,Mirrodin
negator,0.9864983833729485,Kamigawa,3.4,13000,Dominaria
dreadnought,0.4674606242304593,Korhal,6.7,52000,Zendikar
battleship,0.3077940938488758,Korhal,6.7,69000,Zendikar
negator,0.0904222117692709,Ravnica,7.3,64000,Dominaria
battleship,0.5027555040130156,Ravnica,7.3,11000,Dominaria
dreadnought,0.9259675998881264,Aiur,5.1,43000,Zendikar
scout,0.6973744110289307,Aiur,5.1,78000,Zendikar
dreadnought,0.22181077074101152,Aiur,5.1,62000,Zendikar
zealot,0.7885402533608273,Eos,8.5,69000,Mirrodin
zealot,0.7579286028190627,Gaia,6.7,70000,Mirrodin
drone,0.6824480526644039,Kamigawa,3.4,78000,Dominaria
dreadnought,0.8948565592836583,Korhal,6.7,97000,Zendikar
tank,0.17445279098460686,Aiur,5.1,23000,Zendikar
negator,0.40400218109744834,Kamigawa,3.4,36000,Dominaria
zealot,0.15699564701855673,Korhal,6.7,2000,Zendikar
zealot,0.21477270682012495,Eos,8.5,69000,Mirrodin
scout,0.7411150389908033,Eos,8.5,49000,Mirrodin
battleship,0.8654305600476465,Gaia,6.7,92000,Mirrodin
scout,0.3333204432311049,Kamigawa,3.4,47000,Dominaria
drone,0.8591619605657993,Eos,8.5,52000,Mirrodin
zealot,0.32788472451909445,Gaia,6.7,69000,Mirrodin
zealot,0.6669652799363944,Kamigawa,3.4,85000,Dominaria
overlord,0.9441684648095238,Ravnica,7.3,82000,Dominaria
overlord,0.6205294217708038,Ravnica,7.3,76000,Dominaria
dreadnought,0.8014670733274261,Kamigawa,3.4,80000,Dominaria
mecha,0.24130532288442108,Kamigawa,3.4,53000,Dominaria
negator,0.4502889559987264,Korhal,6.7,53000,Zendikar
overlord,0.6371854639859779,Gaia,6.7,86000,Mirrodin
battleship,0.0750875286295557,Eos,8.5,90000,Mirrodin
drone,0.4530315676704869,Gaia,6.7,50000,Mirrodin
tank,0.6830020710530288,Korhal,6.7,75000,Zendikar
negator,0.24726135906611124,Kamigawa,3.4,51000,Dominaria
tank,0.38205749392351007,Aiur,5.1,90000,Zendikar
negator,0.5705276497453189,Gaia,6.7,25000,Mirrodin
overlord,0.5771019229707393,Ravnica,7.3,17000,Dominaria
overlord,0.9065971213931087,Gaia,6.7,68000,Mirrodin
zealot,0.027168249722560156,Kamigawa,3.4,67000,Dominaria
drone,0.9467497391512221,Eos,8.5,33000,Mirrodin
zealot,0.7255408231485502,Gaia,6.7,17000,Mirrodin
drone,0.5863342166559709,Ravnica,7.3,45000,Dominaria
negator,0.5933258034454525,Gaia,6.7,95000,Mirrodin
dreadnought,0.4948892585995597,Gaia,6.7,83000,Mirrodin
negator,0.3675074846897477,Gaia,6.7,80000,Mirrodin
dreadnought,0.52896194131877,Korhal,6.7,96000,Zendikar
battleship,0.31365498604351727,Aiur,5.1,47000,Zendikar
overlord,0.7454289688730742,Ravnica,7.3,3000,Dominaria
mecha,0.055972946233640464,Ravnica,7.3,40000,Dominaria
scout,0.8791473192182365,Aiur,5.1,68000,Zendikar
zealot,0.9778522467072852,Eos,8.5,25000,Mirrodin
mecha,0.2070171844365546,Eos,8.5,97000,Mirrodin
mecha,0.5915092042117168,Gaia,6.7,55000,Mirrodin
battleship,0.7850895602407919,Aiur,5.1,27000,Zendikar
scout,0.5343840484669972,Korhal,6.7,70000,Zendikar
mecha,0.12322691386060403,Kamigawa,3.4,21000,Dominaria
zealot,0.817630718429353,Eos,8.5,76000,Mirrodin
zealot,0.9578185691325354,Kamigawa,3.4,42000,Dominaria
scout,0.8839545652403271,Kamigawa,3.4,79000,Dominaria
zealot,0.8408088696639219,Ravnica,7.3,83000,Dominaria
zealot,0.6336092946579447,Kamigawa,3.4,80000,Dominaria
dreadnought,0.5359196899444515,Eos,8.5,22000,Mirrodin
dreadnought,0.3872894339285342,Ravnica,7.3,60000,Dominaria
dreadnought,0.9585776268380454,Kamigawa,3.4,10000,Dominaria
zealot,0.11763831531352376,Gaia,6.7,8000,Mirrodin
negator,0.524496770698461,Kamigawa,3.4,74000,Dominaria
scout,0.6946336283361334,Aiur,5.1,89000,Zendikar
drone,0.041956473409445194,Korhal,6.7,22000,Zendikar
scout,0.1663571309798031,Kamigawa,3.4,18000,Dominaria
battleship,0.48241000379974297,Korhal,6.7,56000,Zendikar
drone,0.3812657766805386,Aiur,5.1,79000,Zendikar
negator,0.18877503875427137,Ravnica,7.3,41000,Dominaria
drone,0.9653839664093257,Kamigawa,3.4,37000,Dominaria
negator,0.7958831728276471,Korhal,6.7,36000,Zendikar
zealot,0.590292207781143,Eos,8.5,94000,Mirrodin
tank,0.38918207854350717,Ravnica,7.3,8000,Dominaria
dreadnought,0.0004164313148896648,Korhal,6.7,78000,Zendikar
overlord,0.0715956908069767,Gaia,6.7,39000,Mirrodin
drone,0.6041867065292522,Aiur,5.1,16000,Zendikar
scout,0.6728286789425151,Korhal,6.7,63000,Zendikar
battleship,0.12369818733482729,Aiur,5.1,9000,Zendikar
overlord,0.8675073143066949,Ravnica,7.3,85000,Dominaria
zealot,0.12700752770656154,Gaia,6.7,93000,Mirrodin
tank,0.21698328163812686,Ravnica,7.3,30000,Dominaria
tank,0.5460166204414055,Ravnica,7.3,8000,Dominaria
overlord,0.6450919166961759,Kamigawa,3.4,6000,Dominaria
mecha,0.21028451812113802,Ravnica,7.3,77000,Dominaria
tank,0.15288624900186054,Gaia,6.7,40000,Mirrodin
battleship,0.06681969251734787,Gaia,6.7,94000,Mirrodin
overlord,0.18218090014938226,Aiur,5.1,46000,Zendikar
mecha,0.5992036352737784,Kamigawa,3.4,55000,Dominaria
scout,0.2706840959884135,Korhal,6.7,48000,Zendikar
overlord,0.10547382908647818,Ravnica,7.3,92000,Dominaria
zealot,0.04486808946328125,Aiur,5.1,20000,Zendikar
dreadnought,0.7768289190361908,Aiur,5.1,28000,Zendikar
drone,0.60837886847686,Korhal,6.7,49000,Zendikar
mecha,0.9865976879260577,Gaia,6.7,75000,Mirrodin
overlord,0.14560252562178166,Kamigawa,3.4,37000,Dominaria
scout,0.007136451404097466,Gaia,6.7,66000,Mirrodin
scout,0.3787436885650295,Gaia,6.7,3000,Mirrodin
overlord,0.4997448270243654,Ravnica,7.3,92000,Dominaria
negator,0.7738119688699938,Kamigawa,3.4,59000,Dominaria
tank,0.9429921954514828,Korhal,6.7,88000,Zendikar
scout,0.7933187846378865,Kamigawa,3.4,60000,Dominaria
overlord,0.26548382297602335,Gaia,6.7,60000,Mirrodin
mecha,0.4036222734580647,Gaia,6.7,95000,Mirrodin
overlord,0.7311620862245318,Korhal,6.7,44000,Zendikar
overlord,0.743594123801994,Kamigawa,3.4,95000,Dominaria
negator,0.9377577605498776,Eos,8.5,33000,Mirrodin
mecha,0.5593326252003343,Eos,8.5,60000,Mirrodin
overlord,0.5397419812642257,Gaia,6.7,87000,Mirrodin
drone,0.1036529010733005,Eos,8.5,13000,Mirrodin
mecha,0.9374537480559131,Kamigawa,3.4,12000,Dominaria
mecha,0.708141290198735,Ravnica,7.3,55000,Dominaria
overlord,0.36051664689434904,Korhal,6.7,3000,Zendikar
overlord,0.5674288804942417,Gaia,6.7,55000,Mirrodin
scout,0.21446365924377275,Korhal,6.7,3000,Zendikar
negator,0.9494341607867757,Aiur,5.1,75000,Zendikar
drone,0.5233370823889005,Aiur,5.1,95000,Zendikar
drone,0.5735589979046889,Ravnica,7.3,5000,Dominaria
mecha,0.0573697333824168,Kamigawa,3.4,61000,Dominaria
zealot,0.8163121160998341,Korhal,6.7,74000,Zendikar
negator,0.08901342849271743,Ravnica,7.3,28000,Dominaria
battleship,0.315734874890944,Ravnica,7.3,44000,Dominaria
scout,0.3219834032761256,Kamigawa,3.4,4000,Dominaria
zealot,0.05485123393205915,Eos,8.5,3000,Mirrodin
overlord,0.7119669198544514,Gaia,6.7,48000,Mirrodin
dreadnought,0.6239966589638136,Eos,8.5,87000,Mirrodin
battleship,0.7305864465678376,Kamigawa,3.4,27000,Dominaria
negator,0.4175474666430372,Eos,8.5,36000,Mirrodin
scout,0.07804214240014495,Aiur,5.1,10000,Zendikar
zealot,0.0967861353261541,Korhal,6.7,6000,Zendikar
scout,0.48403968808093245,Korhal,6.7,60000,Zendikar
zealot,0.9677200919731311,Eos,8.5,67000,Mirrodin
zealot,0.8859726236893377,Aiur,5.1,45000,Zendikar
battleship,0.295177752648343,Aiur,5.1,81000,Zendikar
drone,0.24384537788108762,Eos,8.5,36000,Mirrodin
mecha,0.06085814548292279,Gaia,6.7,20000,Mirrodin
negator,0.3852741747796442,Korhal,6.7,72000,Zendikar
mecha,0.4807307455444546,Gaia,6.7,7000,Mirrodin
zealot,0.2902748543991538,Aiur,5.1,26000,Zendikar
battleship,0.6943390023139246,Korhal,6.7,89000,Zendikar
mecha,0.8389703920644876,Ravnica,7.3,52000,Dominaria
tank,0.11259993256317202,Korhal,6.7,32000,Zendikar
mecha,0.5902938407840689,Korhal,6.7,8000,Zendikar
battleship,0.5661386533837909,Kamigawa,3.4,34000,Dominaria
zealot,0.25215399443350495,Ravnica,7.3,41000,Dominaria
drone,0.43537827020280917,Ravnica,7.3,12000,Dominaria
negator,0.6355102095369365,Aiur,5.1,11000,Zendikar
zealot,0.7099787336867159,Gaia,6.7,3000,Mirrodin
dreadnought,0.5790840862518096,Eos,8.5,62000,Mirrodin
zealot,0.6526936500307858,Gaia,6.7,97000,Mirrodin
drone,0.06376902485930769,Gaia,6.7,45000,Mirrodin
tank,0.267178473016883,Gaia,6.7,68000,Mirrodin
negator,0.1817376696330314,Kamigawa,3.4,19000,Dominaria
tank,0.8667635916048272,Gaia,6.7,29000,Mirrodin
zealot,0.7390134078970549,Gaia,6.7,96000,Mirrodin
drone,0.7412662735855535,Korhal,6.7,12000,Zendikar
overlord,0.5181294780609245,Ravnica,7.3,26000,Dominaria
drone,0.15567268392715183,Korhal,6.7,38000,Zendikar
mecha,0.43718297779122595,Eos,8.5,15000,Mirrodin
dreadnought,0.7509434066123957,Aiur,5.1,93000,Zendikar
overlord,0.9192378706668272,Kamigawa,3.4,34000,Dominaria
zealot,0.1804774922404162,Aiur,5.1,81000,Zendikar
tank,0.8300592429922562,Aiur,5.1,82000,Zendikar
scout,0.5979728157343073,Korhal,6.7,53000,Zendikar
drone,0.31542980126777664,Korhal,6.7,64000,Zendikar
mecha,0.3654642917948485,Gaia,6.7,98000,Mirrodin
dreadnought,0.01801373483624813,Gaia,6.7,71000,Mirrodin
negator,0.9771044547753026,Ravnica,7.3,7000,Dominaria
zealot,0.2620005417427349,Aiur,5.1,12000,Zendikar
dreadnought,0.8679170918184087,Ravnica,7.3,94000,Dominaria
negator,0.3011250050946659,Aiur,5.1,37000,Zendikar
tank,0.06172850293059018,Kamigawa,3.4,15000,Dominaria
battleship,0.350579110697792,Kamigawa,3.4,74000,Dominaria
mecha,0.884115053210216,Gaia,6.7,82000,Mirrodin
negator,0.5717458564464445,Gaia,6.7,81000,Mirrodin
negator,0.6583052451368782,Eos,8.5,13000,Mirrodin
tank,0.9420469878968801,Aiur,5.1,34000,Zendikar
battleship,0.03635141302608036,Gaia,6.7,26000,Mirrodin
tank,0.4452240780417448,Kamigawa,3.4,38000,Dominaria
dreadnought,0.19099941185166258,Kamigawa,3.4,10000,Dominaria
negator,0.24042154012493,Aiur,5.1,64000,Zendikar
negator,0.1386374172647612,Korhal,6.7,72000,Zendikar
zealot,0.20018040097919387,Aiur,5.1,80000,Zendikar
scout,0.6626560292431811,Kamigawa,3.4,39000,Dominaria
zealot,0.3321276862718827,Eos,8.5,53000,Mirrodin
mecha,0.6095465254471382,Eos,8.5,79000,Mirrodin
negator,0.11115680928237504,Eos,8.5,21000,Mirrodin
mecha,0.5444195061350084,Eos,8.5,6000,Mirrodin
overlord,0.12010728297697248,Gaia,6.7,25000,Mirrodin
battleship,0.29888171944722686,Ravnica,7.3,55000,Dominaria
drone,0.7291529757561397,Eos,8.5,48000,Mirrodin
battleship,0.8803432685197623,Ravnica,7.3,42000,Dominaria
dreadnought,0.821293163995795,Gaia,6.7,2000,Mirrodin
scout,0.569713984820882,Korhal,6.7,45000,Zendikar
dreadnought,0.62095261597544,Eos,8.5,87000,Mirrodin
battleship,0.21011291426421985,Ravnica,7.3,45000,Dominaria
drone,0.08979297458955282,Ravnica,7.3,75000,Dominaria
zealot,0.9049044411359393,Ravnica,7.3,61000,Dominaria
mecha,0.7248801517475985,Korhal,6.7,65000,Zendikar
tank,0.17903015623047647,Eos,8.5,97000,Mirrodin
