cancelled,contract length,days active,invites sent,money spent,occupation,used coupon code,user ID
no,annual,139,12,656,product manager,no,3187
no,monthly,10,18,494,product manager,yes,3188
no,monthly,4,20,1130,product manager,yes,3189
no,monthly,82,11,1196,product manager,no,3190
no,monthly,86,20,125,engineering manager,no,3191
no,monthly,21,10,783,developer,yes,3192
no,monthly,81,10,881,engineering manager,no,3193
yes,monthly,23,4,900,sales,no,3194
yes,annual,71,4,491,designer,yes,3195
no,monthly,103,9,28,engineering manager,no,3196
no,monthly,34,10,88,product manager,no,3197
yes,annual,91,2,745,designer,no,3198
no,annual,132,5,945,product manager,yes,3199
no,annual,55,16,173,engineering manager,yes,3200
yes,monthly,49,4,323,marketer,yes,3201
no,monthly,59,7,989,engineering manager,yes,3202
yes,monthly,53,1,800,engineering manager,no,3203
yes,annual,72,11,299,developer,no,3204
no,annual,53,3,843,developer,no,3205
no,monthly,108,5,198,product manager,no,3206
no,monthly,116,18,267,developer,no,3207
no,annual,2,11,438,engineering manager,yes,3208
no,annual,87,7,665,product manager,no,3209
no,monthly,120,10,1101,product manager,no,3210
no,monthly,79,4,93,product manager,yes,3211
no,monthly,100,5,521,engineering manager,no,3212
no,monthly,73,6,209,engineering manager,yes,3213
yes,monthly,71,3,692,engineering manager,yes,3214
yes,monthly,45,11,66,designer,no,3215
yes,monthly,35,12,1127,marketer,no,3216
no,monthly,46,8,32,developer,no,3217
yes,monthly,36,5,382,designer,no,3218
no,monthly,111,19,818,product manager,yes,3219
no,monthly,131,0,1126,product manager,yes,3220
no,monthly,8,0,414,product manager,no,3221
yes,monthly,17,12,554,product manager,no,3222
no,monthly,107,10,460,engineering manager,no,3223
no,monthly,146,12,1036,product manager,yes,3224
yes,annual,70,8,660,developer,no,3225
no,monthly,144,17,982,engineering manager,no,3226
no,monthly,101,9,666,engineering manager,no,3227
yes,annual,91,5,948,engineering manager,no,3228
no,monthly,97,12,647,engineering manager,no,3229
no,monthly,43,10,842,product manager,yes,3230
yes,annual,60,4,1019,sales,no,3231
no,monthly,148,8,429,product manager,yes,3232
no,monthly,47,2,1159,product manager,yes,3233
yes,annual,6,7,747,designer,no,3234
no,monthly,65,7,1094,product manager,no,3235
no,annual,62,1,1017,product manager,no,3236
no,annual,139,12,1088,engineering manager,no,3237
yes,annual,42,3,1089,engineering manager,yes,3238
yes,monthly,2,0,1096,designer,no,3239
yes,monthly,69,1,855,engineering manager,yes,3240
no,monthly,136,0,252,engineering manager,no,3241
no,monthly,27,14,810,engineering manager,yes,3242
no,monthly,148,9,721,developer,no,3243
no,monthly,81,16,870,product manager,no,3244
no,annual,5,13,993,developer,no,3245
no,monthly,74,16,806,engineering manager,yes,3246
no,monthly,103,9,1146,product manager,no,3247
no,annual,123,7,1189,engineering manager,yes,3248
no,monthly,135,8,420,developer,yes,3249
no,monthly,135,0,149,engineering manager,yes,3250
no,monthly,60,4,1133,product manager,no,3251
yes,monthly,57,5,999,engineering manager,no,3252
no,monthly,61,2,932,engineering manager,no,3253
no,monthly,63,12,1163,product manager,no,3254
no,monthly,46,3,917,product manager,yes,3255
no,annual,133,1,810,product manager,no,3256
no,monthly,52,16,1046,developer,yes,3257
yes,annual,86,7,885,product manager,no,3258
no,monthly,22,3,495,engineering manager,no,3259
no,annual,19,20,964,product manager,no,3260
no,annual,80,2,556,engineering manager,no,3261
yes,annual,48,7,482,marketer,yes,3262
no,monthly,111,10,97,engineering manager,yes,3263
no,monthly,67,1,632,developer,yes,3264
yes,annual,24,2,98,engineering manager,no,3265
no,monthly,55,2,961,engineering manager,no,3266
no,annual,46,3,617,engineering manager,no,3267
yes,monthly,59,11,572,sales,yes,3268
no,monthly,20,9,417,developer,yes,3269
no,monthly,78,10,1148,product manager,no,3270
no,monthly,72,4,292,product manager,no,3271
no,annual,6,17,593,product manager,yes,3272
yes,monthly,86,2,335,developer,no,3273
yes,annual,49,8,72,developer,no,3274
yes,monthly,79,9,492,designer,yes,3275
no,monthly,64,17,63,engineering manager,no,3276
yes,monthly,36,3,858,engineering manager,yes,3277
no,monthly,16,11,931,developer,no,3278
no,annual,32,3,875,developer,yes,3279
no,monthly,125,9,356,product manager,no,3280
no,monthly,76,3,993,developer,yes,3281
no,monthly,93,5,186,developer,no,3282
no,monthly,58,4,1078,engineering manager,yes,3283
yes,annual,91,6,1129,product manager,yes,3284
no,monthly,7,3,230,engineering manager,yes,3285
yes,monthly,75,1,616,product manager,yes,3286
no,monthly,84,3,403,developer,no,3287
yes,monthly,95,2,712,developer,yes,3288
no,monthly,42,7,549,engineering manager,no,3289
yes,monthly,48,9,1084,engineering manager,yes,3290
no,annual,95,14,553,developer,no,3291
no,monthly,62,19,1164,product manager,no,3292
no,monthly,35,16,154,product manager,yes,3293
yes,annual,22,3,863,product manager,yes,3294
yes,monthly,33,9,272,product manager,no,3295
no,monthly,138,7,31,engineering manager,no,3296
no,monthly,143,4,585,engineering manager,no,3297
no,annual,60,3,229,engineering manager,no,3298
no,monthly,0,5,736,product manager,no,3299
no,monthly,74,16,53,product manager,yes,3300
no,monthly,51,3,987,developer,no,3301
no,monthly,45,9,975,developer,yes,3302
no,annual,117,7,27,product manager,yes,3303
no,monthly,35,14,49,engineering manager,no,3304
no,monthly,5,1,704,engineering manager,yes,3305
no,monthly,6,17,199,developer,no,3306
no,annual,15,16,1153,engineering manager,no,3307
no,annual,22,19,70,engineering manager,no,3308
no,monthly,58,3,141,product manager,no,3309
no,annual,101,20,927,engineering manager,yes,3310
yes,monthly,9,5,470,developer,no,3311
no,annual,139,14,998,product manager,no,3312
no,monthly,5,8,425,engineering manager,no,3313
yes,monthly,69,3,156,sales,no,3314
no,annual,14,4,979,developer,no,3315
no,monthly,76,13,1050,developer,no,3316
yes,monthly,50,11,797,developer,yes,3317
no,monthly,81,4,337,engineering manager,yes,3318
yes,monthly,94,0,33,developer,no,3319
no,monthly,82,17,1079,engineering manager,yes,3320
yes,monthly,94,5,689,designer,no,3321
no,monthly,78,19,753,engineering manager,no,3322
no,monthly,11,10,1022,engineering manager,no,3323
no,monthly,43,6,505,engineering manager,no,3324
yes,annual,43,0,208,product manager,no,3325
no,monthly,104,4,335,product manager,yes,3326
no,monthly,50,16,952,developer,no,3327
no,monthly,76,5,521,product manager,no,3328
yes,annual,83,9,666,product manager,yes,3329
yes,monthly,44,11,587,product manager,no,3330
no,monthly,142,5,785,engineering manager,no,3331
no,monthly,110,10,599,engineering manager,yes,3332
yes,monthly,49,9,688,marketer,no,3333
no,monthly,30,10,568,product manager,no,3334
no,monthly,126,9,799,developer,no,3335
no,monthly,124,7,407,developer,no,3336
no,annual,51,0,129,product manager,no,3337
no,monthly,78,2,33,engineering manager,no,3338
no,monthly,11,0,635,developer,yes,3339
no,monthly,72,3,367,engineering manager,yes,3340
yes,annual,24,3,72,sales,yes,3341
no,monthly,90,15,996,engineering manager,no,3342
yes,monthly,19,12,934,marketer,no,3343
no,monthly,136,6,543,engineering manager,no,3344
no,monthly,77,11,673,developer,no,3345
no,monthly,66,3,61,engineering manager,yes,3346
no,annual,104,20,802,engineering manager,no,3347
no,annual,40,19,17,developer,yes,3348
yes,monthly,79,5,23,sales,no,3349
no,monthly,143,18,155,engineering manager,yes,3350
no,monthly,66,8,1109,product manager,no,3351
no,monthly,145,17,788,engineering manager,no,3352
no,monthly,116,1,1196,engineering manager,no,3353
no,annual,92,1,299,engineering manager,yes,3354
no,monthly,98,16,671,engineering manager,no,3355
no,annual,36,11,748,engineering manager,no,3356
yes,annual,20,5,1155,marketer,no,3357
no,monthly,68,13,861,product manager,no,3358
no,annual,1,17,928,engineering manager,no,3359
yes,monthly,79,10,875,developer,no,3360
no,monthly,0,16,163,developer,no,3361
yes,annual,30,11,805,developer,no,3362
no,monthly,2,14,759,developer,yes,3363
no,monthly,14,13,1143,developer,no,3364
yes,monthly,76,5,138,marketer,yes,3365
yes,monthly,16,7,982,designer,no,3366
no,monthly,74,13,81,engineering manager,yes,3367
no,monthly,85,8,281,product manager,yes,3368
yes,annual,16,6,798,designer,no,3369
no,monthly,36,18,538,developer,yes,3370
no,monthly,113,3,493,engineering manager,no,3371
no,annual,140,4,684,product manager,yes,3372
no,monthly,141,2,1038,product manager,no,3373
no,monthly,78,3,6,product manager,yes,3374
no,monthly,48,13,403,engineering manager,no,3375
no,annual,1,1,1061,engineering manager,yes,3376
yes,annual,69,6,1101,product manager,yes,3377
yes,monthly,75,2,1094,marketer,no,3378
no,annual,113,1,665,engineering manager,no,3379
no,monthly,21,11,1018,engineering manager,no,3380
no,monthly,41,9,534,product manager,no,3381
no,monthly,0,4,521,product manager,yes,3382
yes,monthly,45,7,797,developer,no,3383
no,monthly,108,19,762,developer,no,3384
yes,monthly,85,4,347,product manager,no,3385
no,annual,65,4,797,engineering manager,no,3386
no,monthly,93,17,1013,engineering manager,no,3387
yes,monthly,4,3,241,product manager,no,3388
yes,annual,81,7,1009,sales,no,3389
no,monthly,43,15,552,engineering manager,no,3390
yes,annual,24,1,1021,designer,yes,3391
no,annual,65,9,797,engineering manager,yes,3392
no,monthly,71,15,811,product manager,yes,3393
no,monthly,80,16,3,engineering manager,yes,3394
no,monthly,14,20,999,engineering manager,no,3395
no,annual,94,7,162,developer,yes,3396
no,monthly,149,3,878,engineering manager,no,3397
yes,monthly,53,12,461,sales,yes,3398
no,monthly,30,20,160,product manager,yes,3399
no,monthly,137,18,1183,engineering manager,no,3400
no,annual,4,18,97,developer,no,3401
no,monthly,75,7,1186,product manager,yes,3402
yes,monthly,4,4,1123,product manager,no,3403
yes,monthly,60,11,88,product manager,no,3404
yes,annual,39,10,916,sales,yes,3405
no,monthly,149,1,307,product manager,no,3406
no,monthly,34,19,588,developer,yes,3407
no,monthly,0,7,420,engineering manager,no,3408
no,monthly,29,2,75,developer,no,3409
no,monthly,139,18,711,product manager,no,3410
no,monthly,4,5,376,developer,yes,3411
yes,annual,94,9,467,designer,yes,3412
no,monthly,140,4,717,engineering manager,yes,3413
yes,monthly,48,0,194,engineering manager,no,3414
yes,monthly,24,4,662,engineering manager,no,3415
no,monthly,107,2,303,engineering manager,yes,3416
no,monthly,54,15,654,engineering manager,no,3417
no,monthly,65,14,546,product manager,yes,3418
no,annual,62,0,644,engineering manager,yes,3419
no,annual,59,4,1051,product manager,yes,3420
yes,annual,13,4,938,sales,yes,3421
no,annual,72,17,666,engineering manager,no,3422
no,monthly,22,13,14,developer,yes,3423
no,annual,81,4,1076,developer,no,3424
yes,monthly,23,4,558,developer,no,3425
no,monthly,51,16,327,product manager,no,3426
yes,monthly,88,3,986,product manager,no,3427
yes,monthly,36,3,139,product manager,no,3428
yes,monthly,44,12,215,marketer,yes,3429
no,annual,107,17,469,developer,no,3430
no,monthly,113,7,532,developer,no,3431
yes,annual,3,7,1023,product manager,no,3432
yes,monthly,50,6,599,marketer,yes,3433
no,monthly,122,17,855,developer,no,3434
yes,monthly,18,1,741,sales,no,3435
yes,monthly,30,6,258,product manager,yes,3436
no,monthly,128,4,528,engineering manager,no,3437
yes,monthly,16,7,332,sales,yes,3438
yes,annual,6,10,541,designer,yes,3439
no,monthly,113,3,466,developer,no,3440
no,monthly,57,19,1106,product manager,no,3441
no,monthly,131,9,355,product manager,no,3442
no,monthly,17,0,201,product manager,no,3443
no,monthly,36,6,99,developer,yes,3444
no,annual,3,11,9,product manager,no,3445
no,monthly,8,8,27,developer,no,3446
no,monthly,67,9,224,developer,no,3447
yes,monthly,36,7,1066,sales,no,3448
yes,monthly,42,11,422,sales,no,3449
no,monthly,117,7,737,engineering manager,no,3450
no,monthly,87,13,99,engineering manager,yes,3451
no,monthly,147,2,1061,product manager,no,3452
yes,monthly,12,6,165,product manager,no,3453
no,monthly,85,20,443,developer,yes,3454
yes,monthly,0,7,28,sales,yes,3455
no,monthly,116,19,1092,product manager,no,3456
yes,annual,14,1,396,sales,no,3457
yes,monthly,55,11,231,engineering manager,yes,3458
yes,monthly,55,9,435,designer,yes,3459
yes,monthly,90,12,679,engineering manager,no,3460
no,annual,133,7,933,engineering manager,no,3461
yes,annual,78,5,465,sales,yes,3462
yes,annual,66,10,670,sales,yes,3463
no,annual,78,7,1061,product manager,no,3464
no,monthly,2,10,29,engineering manager,no,3465
no,monthly,146,2,922,product manager,yes,3466
no,annual,44,20,718,product manager,yes,3467
yes,monthly,51,12,973,product manager,yes,3468
no,monthly,94,18,1197,developer,yes,3469
no,annual,30,8,269,developer,no,3470
no,monthly,83,19,707,engineering manager,yes,3471
no,monthly,84,8,6,engineering manager,yes,3472
no,monthly,144,8,246,product manager,yes,3473
no,monthly,78,13,102,engineering manager,yes,3474
no,annual,97,5,465,engineering manager,no,3475
no,monthly,59,3,377,engineering manager,no,3476
no,monthly,2,3,111,developer,no,3477
yes,monthly,42,8,1094,engineering manager,no,3478
no,annual,52,12,1043,developer,no,3479
yes,monthly,86,10,904,sales,yes,3480
no,annual,76,0,56,product manager,yes,3481
no,annual,37,7,981,developer,no,3482
yes,monthly,83,4,904,developer,no,3483
no,monthly,142,1,342,developer,yes,3484
no,monthly,116,17,464,product manager,yes,3485
no,monthly,103,20,701,engineering manager,no,3486
no,monthly,2,3,529,developer,no,3487
no,annual,59,1,125,engineering manager,no,3488
yes,monthly,44,7,1169,developer,no,3489
no,monthly,29,4,839,product manager,no,3490
no,monthly,13,1,336,engineering manager,no,3491
no,annual,124,5,696,developer,yes,3492
no,annual,81,10,496,developer,yes,3493
yes,monthly,36,3,1051,sales,no,3494
no,monthly,19,7,385,engineering manager,no,3495
no,annual,135,20,464,developer,no,3496
no,monthly,127,12,739,product manager,yes,3497
no,annual,67,17,744,engineering manager,yes,3498
no,annual,92,1,780,engineering manager,no,3499
no,monthly,73,10,566,product manager,yes,3500
yes,monthly,52,12,791,engineering manager,no,3501
no,annual,88,9,1058,engineering manager,yes,3502
no,monthly,49,5,352,developer,no,3503
no,annual,71,18,450,product manager,yes,3504
yes,annual,98,7,804,marketer,no,3505
yes,annual,2,1,323,sales,yes,3506
no,annual,140,17,25,engineering manager,no,3507
yes,annual,10,11,96,designer,no,3508
no,annual,54,19,2,developer,no,3509
no,annual,111,5,963,engineering manager,yes,3510
no,monthly,89,18,444,developer,yes,3511
no,annual,59,15,933,engineering manager,no,3512
yes,monthly,68,2,839,developer,no,3513
no,monthly,125,2,810,engineering manager,no,3514
yes,monthly,45,10,1130,sales,no,3515
no,monthly,31,6,1037,developer,yes,3516
no,monthly,77,1,987,product manager,yes,3517
yes,monthly,97,10,760,marketer,no,3518
yes,monthly,23,1,628,marketer,yes,3519
yes,monthly,13,7,1036,developer,yes,3520
no,annual,107,1,994,engineering manager,yes,3521
yes,monthly,45,5,654,sales,no,3522
yes,monthly,96,11,1130,engineering manager,no,3523
no,annual,71,20,676,engineering manager,no,3524
no,annual,89,18,297,product manager,no,3525
no,monthly,109,7,40,product manager,no,3526
no,monthly,22,17,790,developer,no,3527
no,monthly,48,5,562,product manager,yes,3528
no,monthly,54,12,86,product manager,yes,3529
yes,annual,37,9,146,sales,no,3530
no,annual,112,20,16,product manager,no,3531
no,monthly,82,10,1074,engineering manager,yes,3532
no,monthly,45,9,88,developer,no,3533
no,monthly,82,5,1176,product manager,yes,3534
yes,monthly,35,11,463,sales,no,3535
yes,monthly,29,2,450,sales,yes,3536
no,monthly,5,5,118,engineering manager,no,3537
yes,annual,77,10,700,marketer,no,3538
no,annual,93,3,630,engineering manager,no,3539
no,monthly,48,13,1064,product manager,no,3540
yes,annual,36,12,1029,developer,yes,3541
yes,annual,49,6,449,designer,yes,3542
no,monthly,92,11,183,engineering manager,yes,3543
no,monthly,141,0,414,engineering manager,no,3544
no,monthly,131,12,855,engineering manager,no,3545
no,monthly,28,6,537,engineering manager,no,3546
no,monthly,104,0,215,product manager,no,3547
no,monthly,16,3,196,product manager,no,3548
no,monthly,83,15,347,engineering manager,yes,3549
no,annual,120,13,1059,developer,no,3550
no,annual,34,15,854,developer,yes,3551
yes,annual,99,6,892,designer,no,3552
yes,annual,9,6,959,product manager,yes,3553
yes,monthly,91,11,133,sales,no,3554
no,monthly,77,10,279,developer,no,3555
yes,monthly,86,2,756,sales,no,3556
no,monthly,98,13,7,engineering manager,no,3557
no,monthly,127,14,372,developer,no,3558
yes,monthly,11,2,1006,engineering manager,no,3559
no,monthly,74,11,792,developer,yes,3560
no,annual,0,0,564,product manager,no,3561
no,monthly,114,7,636,product manager,yes,3562
no,monthly,51,5,144,product manager,yes,3563
no,monthly,136,2,1023,product manager,yes,3564
no,monthly,123,12,1010,developer,no,3565
no,monthly,28,3,22,engineering manager,yes,3566
no,monthly,80,5,194,product manager,no,3567
no,monthly,70,9,594,engineering manager,yes,3568
yes,monthly,47,7,701,product manager,no,3569
no,annual,3,6,892,engineering manager,no,3570
no,monthly,48,2,142,developer,yes,3571
no,monthly,75,15,993,developer,yes,3572
no,monthly,44,0,608,developer,no,3573
no,monthly,60,16,144,product manager,yes,3574
no,monthly,109,9,806,product manager,yes,3575
no,annual,3,0,391,engineering manager,no,3576
no,annual,133,4,429,developer,no,3577
yes,monthly,87,6,499,engineering manager,yes,3578
no,annual,136,10,1187,engineering manager,no,3579
no,monthly,7,16,1180,developer,yes,3580
yes,annual,24,5,311,designer,no,3581
no,monthly,92,20,146,developer,yes,3582
no,monthly,58,12,1117,product manager,no,3583
no,annual,48,18,1001,engineering manager,yes,3584
no,monthly,10,9,814,product manager,yes,3585
no,monthly,93,6,982,product manager,yes,3586
yes,monthly,28,3,819,designer,no,3587
no,annual,7,2,8,engineering manager,no,3588
no,monthly,49,5,41,developer,no,3589
no,annual,106,20,747,developer,yes,3590
no,monthly,30,11,29,product manager,yes,3591
yes,monthly,96,6,966,marketer,no,3592
no,monthly,142,9,461,engineering manager,no,3593
no,monthly,118,5,353,product manager,no,3594
no,annual,79,9,1033,engineering manager,no,3595
no,monthly,108,2,123,developer,no,3596
no,annual,86,19,747,engineering manager,yes,3597
no,annual,31,5,6,developer,no,3598
no,annual,24,15,1042,product manager,no,3599
no,monthly,129,20,568,product manager,no,3600
no,monthly,69,12,478,engineering manager,no,3601
no,monthly,47,10,504,developer,yes,3602
no,monthly,25,3,897,engineering manager,yes,3603
no,monthly,36,6,494,developer,no,3604
no,monthly,137,7,56,product manager,no,3605
no,monthly,7,7,481,product manager,no,3606
no,monthly,74,7,1160,developer,yes,3607
yes,monthly,92,5,296,designer,no,3608
yes,monthly,56,6,43,developer,no,3609
no,annual,77,15,202,engineering manager,no,3610
yes,monthly,49,11,870,sales,yes,3611
no,annual,54,15,316,engineering manager,yes,3612
no,monthly,148,13,845,developer,no,3613
yes,monthly,60,7,374,designer,no,3614
no,monthly,33,19,325,engineering manager,no,3615
no,monthly,85,0,508,developer,yes,3616
no,monthly,15,19,717,product manager,no,3617
no,annual,19,18,16,product manager,yes,3618
no,monthly,111,7,437,product manager,yes,3619
no,annual,129,16,297,product manager,no,3620
no,monthly,141,10,618,product manager,yes,3621
no,annual,116,3,122,developer,no,3622
no,monthly,54,11,1141,product manager,no,3623
no,annual,106,3,642,product manager,yes,3624
yes,annual,67,9,658,product manager,yes,3625
yes,monthly,45,2,509,developer,yes,3626
no,monthly,23,13,336,product manager,no,3627
yes,monthly,96,8,304,marketer,yes,3628
no,monthly,121,11,1024,engineering manager,yes,3629
yes,monthly,50,12,826,product manager,no,3630
yes,monthly,50,4,973,marketer,yes,3631
no,monthly,79,12,1041,developer,yes,3632
no,monthly,118,18,742,developer,no,3633
yes,annual,38,5,839,marketer,yes,3634
no,annual,125,16,388,engineering manager,no,3635
no,monthly,112,12,533,engineering manager,yes,3636
yes,monthly,76,2,47,engineering manager,no,3637
no,annual,84,2,152,engineering manager,yes,3638
